GPA,Orphanage,Disability,Community_Service,Family_Income_USD,Extracurricular_Activities,Disciplinary_Record,Scholarship_Status
2.03,No,No,Yes,546,No,No,Not Eligible
2.62,Yes,Yes,No,410,Yes,Yes,Not Eligible
2.09,No,No,Yes,336,Yes,No,Not Eligible
1.93,Yes,No,No,1534,Yes,No,Not Eligible
2.9,No,No,Yes,1836,Yes,Yes,Not Eligible
2.98,No,No,Yes,2436,Yes,Yes,Not Eligible
2.87,No,No,No,2169,Yes,Yes,Not Eligible
3.46,Yes,Yes,Yes,151,Yes,No,Eligible
3.1,No,No,No,641,Yes,Yes,Not Eligible
3.29,Yes,Yes,Yes,151,Yes,No,Eligible
1.95,No,Yes,No,2350,Yes,Yes,Not Eligible
2.95,No,No,No,1120,No,Yes,Not Eligible
2.68,No,Yes,No,2043,No,Yes,Not Eligible
3.74,Yes,No,No,83,Yes,No,Eligible
3.92,No,Yes,No,297,Yes,No,Eligible
3.97,No,Yes,Yes,306,Yes,No,Eligible
3.47,Yes,Yes,Yes,296,No,No,Eligible
2.79,No,No,Yes,2070,Yes,Yes,Not Eligible
3.34,Yes,Yes,No,172,No,No,Eligible
3.38,No,Yes,Yes,127,Yes,No,Eligible
2.62,No,No,No,2498,No,Yes,Not Eligible
3.95,Yes,No,Yes,120,Yes,No,Eligible
3.98,Yes,No,No,129,Yes,No,Eligible
2.97,Yes,No,Yes,1260,No,No,Not Eligible
2.09,No,No,Yes,1369,No,Yes,Not Eligible
3.54,Yes,Yes,No,112,Yes,No,Eligible
3.3,Yes,No,No,865,No,No,Not Eligible
2.29,Yes,Yes,Yes,1725,Yes,Yes,Not Eligible
3.54,No,Yes,No,88,Yes,No,Eligible
1.75,Yes,No,Yes,1729,No,No,Not Eligible
3.06,No,Yes,No,1154,Yes,Yes,Not Eligible
1.68,Yes,No,Yes,1395,No,Yes,Not Eligible
3.56,No,No,Yes,343,No,No,Eligible
3.96,Yes,No,Yes,111,Yes,No,Eligible
2.18,No,Yes,No,386,No,No,Not Eligible
3.62,No,Yes,Yes,167,Yes,No,Eligible
3.23,Yes,Yes,Yes,379,Yes,No,Eligible
2.81,No,Yes,No,2238,No,No,Not Eligible
3.06,No,Yes,Yes,1659,Yes,No,Not Eligible
2.83,No,No,No,1232,No,Yes,Not Eligible
3.87,Yes,Yes,No,217,Yes,No,Eligible
2.67,No,Yes,Yes,1511,Yes,No,Not Eligible
2.55,No,Yes,No,1297,Yes,No,Not Eligible
3.18,Yes,No,Yes,2114,Yes,No,Not Eligible
3.4,Yes,No,Yes,284,Yes,No,Eligible
3.32,No,Yes,Yes,110,No,No,Eligible
2.25,No,Yes,Yes,475,Yes,No,Not Eligible
3.68,Yes,Yes,No,338,Yes,No,Eligible
2.12,No,Yes,Yes,1378,No,Yes,Not Eligible
2.22,Yes,Yes,No,1161,No,No,Not Eligible
2.43,No,Yes,Yes,1826,No,No,Not Eligible
1.9,Yes,Yes,Yes,1932,Yes,No,Not Eligible
3.35,No,No,Yes,268,No,No,Eligible
3.89,No,Yes,Yes,70,No,No,Eligible
2.0,No,Yes,Yes,2107,Yes,Yes,Not Eligible
1.61,Yes,No,Yes,2291,Yes,Yes,Not Eligible
3.56,No,No,Yes,338,Yes,No,Eligible
3.48,Yes,No,Yes,233,Yes,No,Eligible
3.33,Yes,Yes,Yes,208,No,No,Eligible
3.28,Yes,Yes,No,285,No,No,Eligible
2.33,Yes,Yes,Yes,456,Yes,Yes,Not Eligible
3.0,Yes,No,Yes,2148,No,Yes,Not Eligible
2.29,No,No,No,1693,Yes,No,Not Eligible
1.59,No,Yes,Yes,842,No,No,Not Eligible
2.02,No,No,No,1913,No,Yes,Not Eligible
1.52,Yes,Yes,No,1024,Yes,No,Not Eligible
2.05,No,Yes,Yes,2352,No,Yes,Not Eligible
3.33,Yes,No,Yes,157,Yes,No,Eligible
3.63,Yes,Yes,Yes,346,Yes,No,Eligible
1.82,No,Yes,No,1264,Yes,Yes,Not Eligible
3.32,Yes,Yes,Yes,305,No,No,Eligible
3.82,Yes,Yes,Yes,252,Yes,No,Eligible
3.11,No,Yes,Yes,332,No,No,Not Eligible
1.86,No,Yes,No,733,No,Yes,Not Eligible
2.55,No,Yes,Yes,2149,Yes,No,Not Eligible
3.36,No,No,No,96,Yes,No,Eligible
3.3,Yes,No,Yes,102,No,No,Eligible
2.61,Yes,No,No,1196,No,No,Not Eligible
3.56,Yes,Yes,Yes,96,Yes,No,Eligible
2.58,Yes,No,Yes,2416,Yes,Yes,Not Eligible
3.22,No,No,No,1894,Yes,Yes,Not Eligible
3.73,Yes,No,No,298,No,No,Eligible
3.78,Yes,Yes,Yes,364,Yes,No,Eligible
3.36,Yes,No,Yes,168,Yes,No,Eligible
3.84,Yes,No,Yes,128,No,No,Eligible
3.53,Yes,Yes,No,334,Yes,No,Eligible
2.92,Yes,No,No,884,Yes,Yes,Not Eligible
2.21,No,No,Yes,357,No,No,Not Eligible
2.58,No,No,Yes,1061,No,No,Not Eligible
1.99,Yes,Yes,No,1352,No,No,Not Eligible
1.96,No,Yes,Yes,1115,Yes,No,Not Eligible
1.82,No,No,No,978,Yes,No,Not Eligible
3.24,Yes,No,Yes,258,Yes,No,Eligible
2.73,No,No,Yes,1327,Yes,Yes,Not Eligible
3.21,No,No,Yes,160,No,No,Eligible
3.45,No,No,Yes,277,Yes,No,Eligible
3.29,No,No,Yes,185,No,No,Eligible
3.46,Yes,Yes,Yes,295,Yes,No,Eligible
1.87,No,Yes,No,2408,Yes,Yes,Not Eligible
1.66,No,Yes,Yes,2018,No,Yes,Not Eligible
3.99,No,No,Yes,316,Yes,No,Eligible
1.81,Yes,No,Yes,1305,No,No,Not Eligible
3.74,No,Yes,Yes,314,No,No,Eligible
3.28,Yes,No,Yes,226,Yes,No,Eligible
1.97,No,Yes,Yes,2341,Yes,No,Not Eligible
3.55,No,No,Yes,260,Yes,No,Eligible
3.39,Yes,No,Yes,97,Yes,No,Eligible
3.23,Yes,No,No,236,No,No,Eligible
1.86,No,No,No,913,Yes,Yes,Not Eligible
2.27,No,No,Yes,1164,Yes,Yes,Not Eligible
3.35,No,No,Yes,134,Yes,No,Eligible
2.17,No,Yes,No,2293,No,Yes,Not Eligible
2.33,Yes,Yes,Yes,953,Yes,No,Not Eligible
3.2,Yes,Yes,Yes,300,Yes,No,Eligible
1.86,No,No,Yes,2350,Yes,No,Not Eligible
3.2,No,Yes,No,250,Yes,No,Eligible
3.57,No,Yes,Yes,89,No,No,Eligible
3.39,No,Yes,Yes,211,Yes,No,Eligible
3.25,Yes,No,Yes,97,Yes,No,Eligible
1.51,No,No,No,1219,No,Yes,Not Eligible
3.73,Yes,Yes,No,339,No,No,Eligible
3.29,No,No,Yes,249,Yes,No,Eligible
3.05,No,No,No,1212,Yes,Yes,Not Eligible
2.19,No,No,Yes,1889,Yes,Yes,Not Eligible
3.99,Yes,Yes,Yes,139,Yes,No,Eligible
3.2,No,Yes,No,497,No,Yes,Not Eligible
3.93,Yes,No,No,205,No,No,Eligible
2.52,No,No,No,459,No,Yes,Not Eligible
3.27,No,Yes,Yes,320,Yes,No,Eligible
2.01,No,Yes,No,1101,No,Yes,Not Eligible
3.41,No,Yes,Yes,112,Yes,No,Eligible
3.57,No,Yes,No,218,Yes,No,Eligible
3.64,Yes,Yes,No,242,No,No,Eligible
3.41,No,Yes,Yes,68,Yes,No,Eligible
1.63,No,No,Yes,640,Yes,No,Not Eligible
3.26,No,Yes,No,208,No,No,Eligible
3.04,Yes,Yes,Yes,749,Yes,Yes,Not Eligible
2.29,Yes,No,Yes,2104,Yes,No,Not Eligible
3.97,No,No,Yes,297,No,No,Eligible
2.23,No,No,Yes,1574,No,Yes,Not Eligible
1.76,No,No,Yes,1172,No,Yes,Not Eligible
3.86,No,No,Yes,169,Yes,No,Eligible
1.94,No,No,Yes,587,No,Yes,Not Eligible
2.47,Yes,Yes,No,898,Yes,No,Not Eligible
1.81,No,Yes,Yes,1656,Yes,No,Not Eligible
3.01,No,No,No,620,Yes,No,Not Eligible
3.43,Yes,Yes,No,109,Yes,No,Eligible
3.27,Yes,Yes,No,131,No,No,Eligible
3.02,No,No,No,1897,No,No,Not Eligible
3.55,No,No,No,393,Yes,No,Eligible
3.89,Yes,Yes,Yes,145,Yes,No,Eligible
3.7,Yes,Yes,No,317,No,No,Eligible
2.91,Yes,Yes,Yes,1792,No,No,Not Eligible
3.35,No,Yes,No,366,Yes,No,Eligible
1.82,No,Yes,Yes,483,Yes,No,Not Eligible
2.09,Yes,Yes,Yes,1577,Yes,No,Not Eligible
2.93,No,Yes,No,2364,Yes,Yes,Not Eligible
3.65,No,Yes,No,250,Yes,No,Eligible
3.29,No,Yes,No,625,Yes,No,Not Eligible
2.44,No,No,No,742,Yes,No,Not Eligible
3.68,No,Yes,No,106,Yes,No,Eligible
3.36,No,Yes,No,298,Yes,No,Eligible
3.88,Yes,No,No,363,Yes,No,Eligible
3.37,Yes,No,Yes,226,No,No,Eligible
2.07,No,No,No,573,Yes,Yes,Not Eligible
2.88,No,No,No,654,Yes,Yes,Not Eligible
3.59,Yes,Yes,Yes,191,Yes,No,Eligible
2.28,Yes,Yes,Yes,1545,No,Yes,Not Eligible
2.81,Yes,Yes,No,530,Yes,No,Not Eligible
3.39,Yes,No,No,304,Yes,No,Eligible
2.8,No,No,No,2460,Yes,Yes,Not Eligible
2.05,No,Yes,No,767,Yes,No,Not Eligible
1.73,No,Yes,Yes,1837,No,No,Not Eligible
3.98,Yes,Yes,Yes,344,Yes,No,Eligible
3.97,No,No,No,326,Yes,No,Eligible
3.46,Yes,No,Yes,345,Yes,No,Eligible
3.45,No,Yes,Yes,104,Yes,No,Eligible
3.43,Yes,No,No,345,Yes,No,Eligible
2.46,No,Yes,No,530,No,No,Not Eligible
1.74,No,No,Yes,2212,Yes,No,Not Eligible
3.89,No,Yes,Yes,370,No,No,Eligible
2.2,No,Yes,No,1288,Yes,Yes,Not Eligible
1.93,No,Yes,No,2163,No,Yes,Not Eligible
3.94,No,Yes,Yes,316,Yes,No,Eligible
2.27,No,No,No,322,No,No,Not Eligible
3.43,Yes,No,No,353,Yes,No,Eligible
3.98,Yes,Yes,Yes,303,Yes,No,Eligible
2.88,No,No,No,833,Yes,Yes,Not Eligible
3.92,No,Yes,Yes,137,Yes,No,Eligible
2.41,No,Yes,No,1311,Yes,No,Not Eligible
3.32,Yes,Yes,Yes,333,Yes,No,Eligible
1.57,No,No,No,861,No,Yes,Not Eligible
2.5,No,Yes,Yes,591,No,Yes,Not Eligible
3.89,Yes,No,No,361,Yes,No,Eligible
2.25,No,No,Yes,1041,No,Yes,Not Eligible
3.76,No,No,No,70,No,No,Eligible
3.23,Yes,No,Yes,284,No,No,Eligible
3.78,No,Yes,Yes,387,Yes,No,Eligible
2.93,No,No,No,949,Yes,Yes,Not Eligible
2.91,No,No,Yes,2014,No,Yes,Not Eligible
3.37,Yes,No,Yes,93,No,No,Eligible
3.44,Yes,Yes,Yes,126,Yes,No,Eligible
2.57,No,Yes,Yes,1967,Yes,Yes,Not Eligible
2.13,No,No,Yes,2482,No,Yes,Not Eligible
3.29,Yes,Yes,Yes,362,Yes,No,Eligible
2.65,No,No,Yes,1093,No,No,Not Eligible
3.61,Yes,Yes,Yes,287,Yes,No,Eligible
3.04,Yes,No,Yes,1286,No,No,Not Eligible
2.84,Yes,Yes,Yes,2433,Yes,Yes,Not Eligible
1.74,No,Yes,Yes,2401,No,Yes,Not Eligible
3.77,No,Yes,Yes,363,Yes,No,Eligible
3.78,No,Yes,Yes,77,No,No,Eligible
3.31,Yes,No,Yes,98,No,No,Eligible
1.94,Yes,No,No,402,No,Yes,Not Eligible
3.04,Yes,Yes,No,2100,No,Yes,Not Eligible
2.3,Yes,No,No,2288,Yes,No,Not Eligible
1.63,No,Yes,Yes,1963,No,Yes,Not Eligible
1.73,No,Yes,No,884,No,Yes,Not Eligible
3.81,No,No,No,318,Yes,No,Eligible
3.52,No,Yes,Yes,84,Yes,No,Eligible
3.27,No,Yes,Yes,147,Yes,No,Eligible
3.44,No,No,Yes,158,Yes,No,Eligible
3.05,No,Yes,No,1196,Yes,No,Not Eligible
3.33,No,Yes,Yes,364,Yes,No,Eligible
2.32,Yes,No,Yes,779,No,Yes,Not Eligible
3.87,Yes,Yes,Yes,123,No,No,Eligible
2.92,Yes,No,Yes,999,Yes,No,Not Eligible
1.92,No,No,Yes,2364,Yes,Yes,Not Eligible
3.27,Yes,No,Yes,82,Yes,No,Eligible
3.03,No,No,No,1996,Yes,No,Not Eligible
3.82,No,Yes,No,100,No,No,Eligible
2.22,No,Yes,Yes,1271,No,Yes,Not Eligible
3.86,No,No,No,123,Yes,No,Eligible
2.26,Yes,No,No,1243,Yes,No,Not Eligible
1.61,No,Yes,Yes,2288,Yes,No,Not Eligible
2.06,Yes,No,No,2141,Yes,Yes,Not Eligible
2.26,No,No,No,1967,No,Yes,Not Eligible
3.63,Yes,Yes,Yes,233,Yes,No,Eligible
3.35,Yes,Yes,No,143,Yes,No,Eligible
3.91,Yes,No,Yes,334,Yes,No,Eligible
2.4,No,Yes,No,2373,Yes,No,Not Eligible
2.11,No,No,No,853,Yes,Yes,Not Eligible
1.68,No,No,No,2070,Yes,No,Not Eligible
2.25,Yes,No,No,489,Yes,Yes,Not Eligible
3.2,Yes,No,Yes,886,No,Yes,Not Eligible
3.92,No,Yes,No,367,Yes,No,Eligible
3.41,No,Yes,Yes,358,Yes,No,Eligible
3.7,Yes,No,Yes,102,Yes,No,Eligible
1.83,Yes,No,Yes,689,No,No,Not Eligible
2.79,No,No,No,2344,Yes,No,Not Eligible
3.85,No,Yes,Yes,236,No,No,Eligible
3.18,Yes,Yes,Yes,2131,No,No,Not Eligible
3.72,Yes,Yes,No,175,Yes,No,Eligible
3.28,No,No,Yes,1860,No,Yes,Not Eligible
3.71,No,No,Yes,101,Yes,No,Eligible
3.64,No,No,No,384,No,No,Eligible
3.64,Yes,No,Yes,126,Yes,No,Eligible
3.91,Yes,Yes,No,297,Yes,No,Eligible
3.08,No,No,Yes,981,No,No,Not Eligible
2.98,No,Yes,No,1167,No,Yes,Not Eligible
3.64,No,Yes,Yes,218,Yes,No,Eligible
3.74,No,No,No,113,No,No,Eligible
1.73,No,No,Yes,983,No,No,Not Eligible
2.34,No,No,No,666,No,Yes,Not Eligible
3.33,No,No,Yes,274,No,No,Eligible
2.17,No,No,No,1652,No,No,Not Eligible
3.21,Yes,Yes,Yes,308,No,No,Eligible
1.77,Yes,No,Yes,2271,No,Yes,Not Eligible
1.91,No,Yes,No,1712,Yes,No,Not Eligible
2.61,No,No,Yes,1855,No,No,Not Eligible
3.49,Yes,Yes,Yes,57,Yes,No,Eligible
3.35,No,Yes,Yes,251,Yes,No,Eligible
1.66,Yes,No,No,1856,No,Yes,Not Eligible
1.76,No,Yes,No,748,No,Yes,Not Eligible
3.06,No,No,Yes,1073,No,No,Not Eligible
2.98,Yes,No,No,706,No,No,Not Eligible
3.23,No,No,Yes,393,Yes,No,Eligible
3.03,No,Yes,Yes,2211,Yes,Yes,Not Eligible
3.87,No,Yes,No,146,Yes,No,Eligible
3.0,No,No,No,1911,Yes,Yes,Not Eligible
2.65,Yes,No,No,2042,No,No,Not Eligible
3.1,Yes,Yes,Yes,569,No,No,Not Eligible
1.82,No,No,Yes,1749,Yes,Yes,Not Eligible
2.29,No,No,Yes,2194,No,Yes,Not Eligible
2.34,No,Yes,Yes,746,Yes,No,Not Eligible
3.92,Yes,Yes,Yes,377,Yes,No,Eligible
3.58,No,No,No,118,Yes,No,Eligible
1.52,Yes,No,Yes,2145,Yes,Yes,Not Eligible
3.96,No,Yes,Yes,165,Yes,No,Eligible
2.74,Yes,No,Yes,2491,No,No,Not Eligible
2.59,No,No,No,339,Yes,Yes,Not Eligible
3.86,Yes,No,Yes,337,Yes,No,Eligible
3.58,Yes,No,Yes,192,No,No,Eligible
2.82,Yes,No,No,1674,No,Yes,Not Eligible
3.92,Yes,No,No,358,Yes,No,Eligible
3.61,No,No,Yes,318,No,No,Eligible
3.99,No,No,Yes,62,No,No,Eligible
3.69,No,Yes,No,314,Yes,No,Eligible
3.31,Yes,No,Yes,101,Yes,No,Eligible
1.88,No,Yes,No,1013,No,No,Not Eligible
3.66,Yes,No,No,190,No,No,Eligible
2.49,Yes,Yes,No,1962,No,No,Not Eligible
2.09,No,Yes,No,2264,Yes,No,Not Eligible
2.58,No,Yes,No,2134,No,No,Not Eligible
3.01,No,Yes,Yes,606,No,Yes,Not Eligible
2.82,Yes,Yes,No,1894,Yes,No,Not Eligible
3.48,No,Yes,Yes,339,Yes,No,Eligible
1.78,No,Yes,No,899,Yes,No,Not Eligible
3.26,Yes,Yes,No,1628,No,Yes,Not Eligible
3.73,No,No,No,143,Yes,No,Eligible
1.7,No,Yes,No,2267,No,No,Not Eligible
3.03,Yes,No,No,1312,No,Yes,Not Eligible
1.56,No,No,No,1707,No,No,Not Eligible
3.19,Yes,No,No,2133,No,Yes,Not Eligible
3.24,No,No,Yes,87,Yes,No,Eligible
3.51,Yes,No,No,384,No,No,Eligible
2.34,No,Yes,Yes,1304,No,No,Not Eligible
2.93,Yes,No,Yes,1487,No,Yes,Not Eligible
3.37,No,No,Yes,291,Yes,No,Eligible
1.5,No,No,Yes,532,No,No,Not Eligible
3.26,No,Yes,No,182,No,No,Eligible
3.98,Yes,No,Yes,198,Yes,No,Eligible
3.69,No,Yes,Yes,400,Yes,No,Eligible
3.28,Yes,Yes,Yes,55,No,No,Eligible
3.97,No,No,Yes,242,Yes,No,Eligible
2.3,Yes,No,Yes,2230,Yes,No,Not Eligible
3.89,Yes,No,No,193,Yes,No,Eligible
3.97,No,No,No,132,Yes,No,Eligible
3.75,No,No,No,288,Yes,No,Eligible
3.63,No,Yes,Yes,97,No,No,Eligible
2.45,Yes,Yes,No,787,Yes,No,Not Eligible
3.22,No,Yes,Yes,516,Yes,Yes,Not Eligible
2.4,No,No,Yes,940,No,No,Not Eligible
3.59,No,Yes,Yes,227,Yes,No,Eligible
2.01,No,No,Yes,699,No,Yes,Not Eligible
3.96,Yes,Yes,Yes,168,Yes,No,Eligible
3.8,No,Yes,Yes,396,Yes,No,Eligible
3.56,Yes,No,No,187,Yes,No,Eligible
2.63,Yes,Yes,No,2361,No,Yes,Not Eligible
1.68,No,Yes,Yes,329,No,No,Not Eligible
2.74,No,No,No,936,Yes,Yes,Not Eligible
1.56,No,Yes,No,400,No,Yes,Not Eligible
3.96,No,No,Yes,343,Yes,No,Eligible
3.86,Yes,Yes,Yes,305,Yes,No,Eligible
3.78,Yes,Yes,No,58,No,No,Eligible
3.61,Yes,Yes,Yes,229,Yes,No,Eligible
2.99,No,Yes,Yes,1679,No,Yes,Not Eligible
2.91,No,Yes,No,1928,Yes,Yes,Not Eligible
3.35,Yes,Yes,Yes,302,Yes,No,Eligible
3.96,No,No,No,161,Yes,No,Eligible
1.73,No,No,No,1315,No,No,Not Eligible
3.38,No,No,Yes,203,Yes,No,Eligible
3.77,Yes,Yes,No,160,Yes,No,Eligible
2.81,Yes,Yes,Yes,1790,No,No,Not Eligible
2.71,No,Yes,Yes,303,No,No,Not Eligible
3.78,Yes,Yes,Yes,112,No,No,Eligible
3.08,No,Yes,Yes,918,Yes,No,Not Eligible
3.32,No,Yes,Yes,343,Yes,No,Eligible
3.98,No,No,Yes,376,No,No,Eligible
3.18,Yes,Yes,Yes,1619,Yes,Yes,Not Eligible
1.98,No,No,Yes,2361,Yes,No,Not Eligible
1.51,Yes,Yes,No,1886,No,No,Not Eligible
1.57,Yes,No,Yes,2335,No,No,Not Eligible
3.24,Yes,No,No,320,Yes,No,Eligible
3.72,No,No,No,316,Yes,No,Eligible
2.32,No,No,No,1152,No,No,Not Eligible
2.69,No,No,Yes,1517,No,No,Not Eligible
3.73,Yes,No,Yes,371,Yes,No,Eligible
2.44,Yes,No,No,1484,No,Yes,Not Eligible
2.26,No,Yes,Yes,1676,No,Yes,Not Eligible
2.29,No,No,Yes,1565,No,No,Not Eligible
2.9,No,No,No,1769,No,No,Not Eligible
3.8,Yes,No,No,281,No,No,Eligible
3.5,Yes,Yes,Yes,336,Yes,No,Eligible
3.33,No,No,Yes,100,Yes,No,Eligible
3.26,Yes,Yes,No,299,Yes,No,Eligible
2.57,No,No,Yes,766,No,Yes,Not Eligible
1.58,No,No,Yes,935,No,Yes,Not Eligible
3.83,Yes,No,No,150,No,No,Eligible
3.43,No,No,Yes,390,No,No,Eligible
1.51,Yes,Yes,No,2325,Yes,Yes,Not Eligible
2.15,No,No,Yes,850,No,Yes,Not Eligible
3.46,Yes,Yes,No,199,Yes,No,Eligible
3.51,Yes,No,Yes,93,No,No,Eligible
3.85,Yes,Yes,Yes,377,Yes,No,Eligible
2.14,No,Yes,Yes,951,Yes,Yes,Not Eligible
3.75,Yes,No,Yes,80,Yes,No,Eligible
3.97,No,Yes,Yes,136,Yes,No,Eligible
3.72,Yes,Yes,Yes,108,Yes,No,Eligible
3.51,Yes,Yes,No,91,Yes,No,Eligible
3.81,No,No,Yes,249,No,No,Eligible
